Ticket #,Symbol,Volume,Date,Sold,Bought,Gross P/L,Comm,Dividends,Rollover,Adj,Net P/L,Condition,Created By
54244469,GBP/JPY,"1,000",3/4/13 8:47 PM,141.276, , , , , , , ,Mkt,3000047258
 , , ,3/4/13 9:00 PM, ,141.431,-1.66,0.00,0.00,0.00,0.00,-1.66,SE,3000047258
54253331,EUR/USD,"1,000",3/5/13 3:32 AM, ,1.30545, , , , , , ,Mkt,3000047258
 , , ,3/5/13 3:45 AM,1.30442, ,-1.03,0.00,0.00,0.00,0.00,-1.03,Mkt,3000047258
54253575,EUR/USD,"1,000",3/5/13 3:45 AM,1.30446, , , , , , , ,Mkt,3000047258
 , , ,3/5/13 3:48 AM, ,1.30506,-0.60,0.00,0.00,0.00,0.00,-0.60,Mkt,3000047258
54315367,EUR/USD,"1,000",3/7/13 3:33 AM, ,1.30149, , , , , , ,Mkt,3000047258
 , , ,3/7/13 4:07 AM,1.30175, ,0.26,0.00,0.00,0.00,0.00,0.26,SE,3000047258
54450782,GBP/AUD,"1,000",3/12/13 8:09 PM,1.44209, , , , , , , ,SE,3000047258
 , , ,3/12/13 8:19 PM, ,1.44323,-1.18,0.00,0.00,0.00,0.00,-1.18,SE,3000047258
54802823,EUR/USD,"1,000",3/27/13 10:12 AM, ,1.27530, , , , , , ,LE,3000047258
 , , ,3/28/13 1:24 AM,1.27930, ,4.00,0.00,0.00,-0.07,0.00,3.93,LE,3000047258
54803001,EUR/USD,"1,000",4/4/13 1:35 PM,1.29311, , , , , , , ,LE,3000047258
 , , ,4/4/13 1:45 PM, ,1.29467,-1.56,0.00,0.00,0.00,0.00,-1.56,SE,3000047258
56731507,NZD/JPY,"1,000",5/30/13 9:02 PM,81.904, , , , , , , ,Mkt,3000047258
 , , ,5/31/13 3:07 AM, ,81.391,5.09,0.00,0.00,0.00,0.00,5.09,LE,3000047258
56725512,EUR/USD,"7,000",5/30/13 11:20 PM, ,1.30329, , , , , , ,LE,3000047258
 , , ,5/31/13 3:28 AM,1.30183, ,-10.22,0.00,0.00,0.00,0.00,-10.22,SE,3000047258
56751550,EUR/USD,"1,000",5/31/13 9:31 AM,1.29901, , , , , , , ,LE,3000047258
 , , ,5/31/13 9:39 AM, ,1.29897,0.04,0.00,0.00,0.00,0.00,0.04,Mkt,3000047258
56752362,EUR/USD,"1,000",5/31/13 9:45 AM,1.29802, , , , , , , ,Mkt,3000047258
 , , ,5/31/13 9:47 AM, ,1.29804,-0.02,0.00,0.00,0.00,0.00,-0.02,Mkt,3000047258
56805193,EUR/USD,"5,000",6/3/13 11:15 AM,1.30891, , , , , , , ,LE,3000047258
 , , ,6/3/13 11:20 AM, ,1.31025,-6.70,0.00,0.00,0.00,0.00,-6.70,SE,3000047258
56805544,EUR/USD,"5,000",6/3/13 11:16 AM,1.30855, , , , , , , ,Mkt,3000047258
 , , ,6/4/13 10:35 AM, ,1.30480,18.75,0.00,0.00,0.02,0.00,18.77,LE,3000047258
56821312,NZD/JPY,"5,000",6/3/13 7:39 PM, ,80.745, , , , , , ,Mkt,3000047258
 , , ,6/3/13 8:14 PM,80.559, ,-9.33,0.00,0.00,0.00,0.00,-9.33,SE,3000047258
56821313,NZD/JPY,"5,000",6/3/13 7:39 PM, ,80.748, , , , , , ,Mkt,3000047258
 , , ,6/3/13 8:14 PM,80.554, ,-9.73,0.00,0.00,0.00,0.00,-9.73,SE,3000047258
56868379,EUR/USD,"8,000",6/4/13 11:56 PM,1.30931, , , , , , , ,LE,3000047258
 , , ,6/5/13 2:33 AM, ,1.31080,-11.92,0.00,0.00,0.00,0.00,-11.92,SE,3000047258
56868472,EUR/USD,"8,000",6/4/13 11:56 PM,1.30931, , , , , , , ,LE,3000047258
 , , ,6/5/13 2:33 AM, ,1.31080,-11.92,0.00,0.00,0.00,0.00,-11.92,SE,3000047258
56931768,EUR/USD,"5,000",6/6/13 10:11 AM,1.31712, , , , , , , ,LE,3000047258
 , , ,6/6/13 11:37 AM, ,1.31986,-13.70,0.00,0.00,0.00,0.00,-13.70,SE,3000047258
56931857,EUR/USD,"5,000",6/6/13 10:11 AM,1.31712, , , , , , , ,LE,3000047258
 , , ,6/6/13 11:37 AM, ,1.31986,-13.70,0.00,0.00,0.00,0.00,-13.70,SE,3000047258
56949067,EUR/USD,"5,000",6/6/13 1:08 PM, ,1.32415, , , , , , ,LE,3000047258
 , , ,6/6/13 7:59 PM,1.32419, ,0.20,0.00,0.00,-0.07,0.00,0.13,Mkt,3000047258
56948911,EUR/USD,"5,000",6/6/13 1:08 PM, ,1.32409, , , , , , ,LE,3000047258
 , , ,6/6/13 7:59 PM,1.32417, ,0.40,0.00,0.00,-0.07,0.00,0.33,Mkt,3000047258
57049738,EUR/USD,"5,000",6/11/13 10:19 AM,1.33017, , , , , , , ,LE,3000047258
 , , ,6/11/13 10:45 AM, ,1.32817,10.00,0.00,0.00,0.00,0.00,10.00,LE,3000047258
57049774,EUR/USD,"5,000",6/11/13 10:19 AM,1.33017, , , , , , , ,LE,3000047258
 , , ,6/12/13 3:03 AM, ,1.33245,-11.40,0.00,0.00,0.02,0.00,-11.38,SE,3000047258
57135335,EUR/USD,"4,000",6/12/13 10:48 AM,1.33371, , , , , , , ,LE,3000047258
 , , ,6/12/13 3:17 PM, ,1.33349,0.88,0.00,0.00,0.00,0.00,0.88,Mkt,3000047258
57135500,EUR/USD,"4,000",6/12/13 10:48 AM,1.33371, , , , , , , ,LE,3000047258
 , , ,6/12/13 3:17 PM, ,1.33349,0.88,0.00,0.00,0.00,0.00,0.88,Mkt,3000047258
57168512,EUR/USD,"4,000",6/13/13 8:30 AM, ,1.33080, , , , , , ,LE,3000047258
 , , ,6/13/13 10:32 AM,1.32796, ,-11.36,0.00,0.00,0.00,0.00,-11.36,SE,3000047258
57168544,EUR/USD,"4,000",6/13/13 8:30 AM, ,1.33080, , , , , , ,LE,3000047258
 , , ,6/13/13 10:32 AM,1.32793, ,-11.48,0.00,0.00,0.00,0.00,-11.48,SE,3000047258
57205552,EUR/USD,"4,000",6/14/13 3:52 AM, ,1.33286, , , , , , ,LE,3000047258
 , , ,6/14/13 8:11 AM,1.33024, ,-10.48,0.00,0.00,0.00,0.00,-10.48,SE,3000047258
57205619,EUR/USD,"4,000",6/14/13 3:52 AM, ,1.33286, , , , , , ,LE,3000047258
 , , ,6/14/13 8:11 AM,1.33024, ,-10.48,0.00,0.00,0.00,0.00,-10.48,SE,3000047258
57237167,EUR/USD,"4,000",6/14/13 8:39 AM, ,1.32997, , , , , , ,LE,3000047258
 , , ,6/14/13 9:58 AM,1.33252, ,10.20,0.00,0.00,0.00,0.00,10.20,LE,3000047258
57237203,EUR/USD,"4,000",6/14/13 8:39 AM, ,1.32997, , , , , , ,LE,3000047258
